Region,Localidad,Precio_USD_kWh,Fuente_Tarifa,URL_Fuente,Sistema de Enfriamiento,Horas Totales,Free Cooling Hours,FCH %,Energia Total (kWh),OPEX 3 Anios (USD)
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,25415,96.6,3056075.0,537869.2
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,26250,99.8,2895600.0,509625.6
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,14879,56.6,3424835.0,602770.96
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,21232,80.7,3096320.0,544952.32
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26302,100.0,2761950.0,486103.2
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,21484,81.7,3193660.0,562084.16
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,25886,98.4,2910160.0,512188.16
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,20770,79.0,3218650.0,566482.4
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,25450,96.8,2927600.0,515257.6
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,18226,69.3,3307690.0,582153.44
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,23666,90.0,2998960.0,527816.96
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26210,99.6,2763330.0,486346.08
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,5220,19.8,3762900.0,319846.5
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,10496,39.9,3525760.0,299689.6
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,20786,79.0,2844690.0,241798.65
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26094,99.2,2684688.0,228198.48
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,615513.6
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,2349,8.9,3863385.0,502240.05
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,9876,37.5,3550560.0,461572.8
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,24566,93.4,2787990.0,362438.7
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26294,100.0,2683088.0,348801.44
