Localidad,Pais,Precio_USD_kWh,Fuente,URL_Fuente,Fecha_Consulta,Metodo
"Helsinki, Finlandia",Finlandia,0.085,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Oulu, Finlandia",Finlandia,0.085,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Lulea, Suecia",Suecia,0.0924,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Estocolmo, Suecia",Suecia,0.0924,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Trondheim, Noruega",Noruega,0.0655,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Stavanger, Noruega",Noruega,0.0655,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Oslo, Noruega",Noruega,0.0655,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Reykjavik, Islandia",Islandia,0.1029,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Tallin, Estonia",Estonia,0.1488,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Copenhague, Dinamarca",Dinamarca,0.1379,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
"Frankfurt, Alemania",Alemania,0.2191,"Eurostat API - NRG_PC_205 (2024-S2, excl. impuestos)",https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205/default/table?lang=en&category=nrg.nrg_price.nrg_pc,2026-06-12,API Eurostat (tiempo real)
