location,forecast_timestamp,forecasted_temp_c,std_error
"Colchane, Chile",2026-06-21 00:00:00+00:00,7.81,0.37
"Colchane, Chile",2026-06-21 01:00:00+00:00,7.4,0.53
"Colchane, Chile",2026-06-21 02:00:00+00:00,7.05,0.65
"Colchane, Chile",2026-06-21 03:00:00+00:00,6.77,0.75
"Colchane, Chile",2026-06-21 04:00:00+00:00,6.56,0.84
"Colchane, Chile",2026-06-21 05:00:00+00:00,6.42,0.93
"Colchane, Chile",2026-06-21 06:00:00+00:00,6.4,1.0
"Colchane, Chile",2026-06-21 07:00:00+00:00,6.24,1.07
"Colchane, Chile",2026-06-21 08:00:00+00:00,6.1,1.14
"Colchane, Chile",2026-06-21 09:00:00+00:00,6.01,1.2
"Colchane, Chile",2026-06-21 10:00:00+00:00,6.03,1.26
"Colchane, Chile",2026-06-21 11:00:00+00:00,6.07,1.31
"Colchane, Chile",2026-06-21 12:00:00+00:00,6.49,1.37
"Colchane, Chile",2026-06-21 13:00:00+00:00,6.94,1.42
"Colchane, Chile",2026-06-21 14:00:00+00:00,7.27,1.47
"Colchane, Chile",2026-06-21 15:00:00+00:00,7.75,1.52
"Colchane, Chile",2026-06-21 16:00:00+00:00,8.28,1.57
"Colchane, Chile",2026-06-21 17:00:00+00:00,8.74,1.61
"Colchane, Chile",2026-06-21 18:00:00+00:00,9.08,1.66
"Colchane, Chile",2026-06-21 19:00:00+00:00,9.27,1.7
"Colchane, Chile",2026-06-21 20:00:00+00:00,9.3,1.74
"Colchane, Chile",2026-06-21 21:00:00+00:00,9.11,1.78
"Colchane, Chile",2026-06-21 22:00:00+00:00,8.46,1.82
"Colchane, Chile",2026-06-21 23:00:00+00:00,8.02,1.86
"Helsinki, Finlandia",2026-06-21 00:00:00+00:00,18.77,0.29
"Helsinki, Finlandia",2026-06-21 01:00:00+00:00,18.71,0.48
"Helsinki, Finlandia",2026-06-21 02:00:00+00:00,18.63,0.64
"Helsinki, Finlandia",2026-06-21 03:00:00+00:00,18.45,0.77
"Helsinki, Finlandia",2026-06-21 04:00:00+00:00,18.47,0.89
"Helsinki, Finlandia",2026-06-21 05:00:00+00:00,18.69,0.99
"Helsinki, Finlandia",2026-06-21 06:00:00+00:00,18.86,1.09
"Helsinki, Finlandia",2026-06-21 07:00:00+00:00,19.0,1.17
"Helsinki, Finlandia",2026-06-21 08:00:00+00:00,19.3,1.25
"Helsinki, Finlandia",2026-06-21 09:00:00+00:00,19.44,1.33
"Helsinki, Finlandia",2026-06-21 10:00:00+00:00,19.65,1.4
"Helsinki, Finlandia",2026-06-21 11:00:00+00:00,19.93,1.47
"Helsinki, Finlandia",2026-06-21 12:00:00+00:00,19.9,1.53
"Helsinki, Finlandia",2026-06-21 13:00:00+00:00,19.74,1.6
"Helsinki, Finlandia",2026-06-21 14:00:00+00:00,19.59,1.66
"Helsinki, Finlandia",2026-06-21 15:00:00+00:00,19.54,1.71
"Helsinki, Finlandia",2026-06-21 16:00:00+00:00,19.42,1.77
"Helsinki, Finlandia",2026-06-21 17:00:00+00:00,19.48,1.82
"Helsinki, Finlandia",2026-06-21 18:00:00+00:00,19.17,1.88
"Helsinki, Finlandia",2026-06-21 19:00:00+00:00,18.85,1.93
"Helsinki, Finlandia",2026-06-21 20:00:00+00:00,18.52,1.98
"Helsinki, Finlandia",2026-06-21 21:00:00+00:00,18.21,2.03
"Helsinki, Finlandia",2026-06-21 22:00:00+00:00,18.03,2.07
"Helsinki, Finlandia",2026-06-21 23:00:00+00:00,17.94,2.12
"Isla Gordon, Chile",2026-06-21 00:00:00+00:00,2.51,0.35
"Isla Gordon, Chile",2026-06-21 01:00:00+00:00,2.47,0.54
"Isla Gordon, Chile",2026-06-21 02:00:00+00:00,2.31,0.69
"Isla Gordon, Chile",2026-06-21 03:00:00+00:00,2.24,0.82
"Isla Gordon, Chile",2026-06-21 04:00:00+00:00,2.27,0.92
"Isla Gordon, Chile",2026-06-21 05:00:00+00:00,2.23,1.02
"Isla Gordon, Chile",2026-06-21 06:00:00+00:00,2.28,1.11
"Isla Gordon, Chile",2026-06-21 07:00:00+00:00,2.32,1.19
"Isla Gordon, Chile",2026-06-21 08:00:00+00:00,2.21,1.27
"Isla Gordon, Chile",2026-06-21 09:00:00+00:00,2.18,1.34
"Isla Gordon, Chile",2026-06-21 10:00:00+00:00,2.26,1.41
"Isla Gordon, Chile",2026-06-21 11:00:00+00:00,2.33,1.47
"Isla Gordon, Chile",2026-06-21 12:00:00+00:00,2.5,1.53
"Isla Gordon, Chile",2026-06-21 13:00:00+00:00,2.51,1.59
"Isla Gordon, Chile",2026-06-21 14:00:00+00:00,2.56,1.65
"Isla Gordon, Chile",2026-06-21 15:00:00+00:00,2.63,1.71
"Isla Gordon, Chile",2026-06-21 16:00:00+00:00,2.64,1.76
"Isla Gordon, Chile",2026-06-21 17:00:00+00:00,2.59,1.81
"Isla Gordon, Chile",2026-06-21 18:00:00+00:00,2.7,1.86
"Isla Gordon, Chile",2026-06-21 19:00:00+00:00,2.68,1.91
"Isla Gordon, Chile",2026-06-21 20:00:00+00:00,2.63,1.96
"Isla Gordon, Chile",2026-06-21 21:00:00+00:00,2.62,2.01
"Isla Gordon, Chile",2026-06-21 22:00:00+00:00,2.59,2.06
"Isla Gordon, Chile",2026-06-21 23:00:00+00:00,2.54,2.1
"Lulea, Suecia",2026-06-21 00:00:00+00:00,16.25,0.34
"Lulea, Suecia",2026-06-21 01:00:00+00:00,16.25,0.56
"Lulea, Suecia",2026-06-21 02:00:00+00:00,16.3,0.73
"Lulea, Suecia",2026-06-21 03:00:00+00:00,16.5,0.88
"Lulea, Suecia",2026-06-21 04:00:00+00:00,16.58,1.02
"Lulea, Suecia",2026-06-21 05:00:00+00:00,16.75,1.13
"Lulea, Suecia",2026-06-21 06:00:00+00:00,16.62,1.24
"Lulea, Suecia",2026-06-21 07:00:00+00:00,16.56,1.34
"Lulea, Suecia",2026-06-21 08:00:00+00:00,16.63,1.43
"Lulea, Suecia",2026-06-21 09:00:00+00:00,16.74,1.52
"Lulea, Suecia",2026-06-21 10:00:00+00:00,16.78,1.6
"Lulea, Suecia",2026-06-21 11:00:00+00:00,16.92,1.68
"Lulea, Suecia",2026-06-21 12:00:00+00:00,17.32,1.75
"Lulea, Suecia",2026-06-21 13:00:00+00:00,17.28,1.82
"Lulea, Suecia",2026-06-21 14:00:00+00:00,17.26,1.89
"Lulea, Suecia",2026-06-21 15:00:00+00:00,17.11,1.96
"Lulea, Suecia",2026-06-21 16:00:00+00:00,16.92,2.02
"Lulea, Suecia",2026-06-21 17:00:00+00:00,16.77,2.08
"Lulea, Suecia",2026-06-21 18:00:00+00:00,16.74,2.14
"Lulea, Suecia",2026-06-21 19:00:00+00:00,16.51,2.2
"Lulea, Suecia",2026-06-21 20:00:00+00:00,16.31,2.26
"Lulea, Suecia",2026-06-21 21:00:00+00:00,16.09,2.31
"Lulea, Suecia",2026-06-21 22:00:00+00:00,15.85,2.37
"Lulea, Suecia",2026-06-21 23:00:00+00:00,16.04,2.42
"Quebec, Canada",2026-06-21 00:00:00+00:00,20.0,0.41
"Quebec, Canada",2026-06-21 01:00:00+00:00,19.57,0.68
"Quebec, Canada",2026-06-21 02:00:00+00:00,19.41,0.9
"Quebec, Canada",2026-06-21 03:00:00+00:00,19.29,1.1
"Quebec, Canada",2026-06-21 04:00:00+00:00,19.25,1.27
"Quebec, Canada",2026-06-21 05:00:00+00:00,19.17,1.43
"Quebec, Canada",2026-06-21 06:00:00+00:00,19.16,1.57
"Quebec, Canada",2026-06-21 07:00:00+00:00,19.06,1.7
"Quebec, Canada",2026-06-21 08:00:00+00:00,18.84,1.82
"Quebec, Canada",2026-06-21 09:00:00+00:00,18.73,1.94
"Quebec, Canada",2026-06-21 10:00:00+00:00,18.72,2.04
"Quebec, Canada",2026-06-21 11:00:00+00:00,18.77,2.15
"Quebec, Canada",2026-06-21 12:00:00+00:00,19.02,2.25
"Quebec, Canada",2026-06-21 13:00:00+00:00,19.2,2.34
"Quebec, Canada",2026-06-21 14:00:00+00:00,19.39,2.43
"Quebec, Canada",2026-06-21 15:00:00+00:00,19.72,2.52
"Quebec, Canada",2026-06-21 16:00:00+00:00,19.93,2.6
"Quebec, Canada",2026-06-21 17:00:00+00:00,19.96,2.68
"Quebec, Canada",2026-06-21 18:00:00+00:00,20.18,2.76
"Quebec, Canada",2026-06-21 19:00:00+00:00,20.47,2.84
"Quebec, Canada",2026-06-21 20:00:00+00:00,20.5,2.91
"Quebec, Canada",2026-06-21 21:00:00+00:00,20.5,2.99
"Quebec, Canada",2026-06-21 22:00:00+00:00,20.51,3.06
"Quebec, Canada",2026-06-21 23:00:00+00:00,20.28,3.13
"Reykjavik, Islandia",2026-06-21 00:00:00+00:00,11.11,0.31
"Reykjavik, Islandia",2026-06-21 01:00:00+00:00,10.95,0.49
"Reykjavik, Islandia",2026-06-21 02:00:00+00:00,10.86,0.63
"Reykjavik, Islandia",2026-06-21 03:00:00+00:00,10.74,0.75
"Reykjavik, Islandia",2026-06-21 04:00:00+00:00,10.68,0.86
"Reykjavik, Islandia",2026-06-21 05:00:00+00:00,10.66,0.95
"Reykjavik, Islandia",2026-06-21 06:00:00+00:00,10.7,1.04
"Reykjavik, Islandia",2026-06-21 07:00:00+00:00,10.77,1.12
"Reykjavik, Islandia",2026-06-21 08:00:00+00:00,10.9,1.19
"Reykjavik, Islandia",2026-06-21 09:00:00+00:00,10.84,1.26
"Reykjavik, Islandia",2026-06-21 10:00:00+00:00,11.01,1.33
"Reykjavik, Islandia",2026-06-21 11:00:00+00:00,11.2,1.39
"Reykjavik, Islandia",2026-06-21 12:00:00+00:00,11.3,1.45
"Reykjavik, Islandia",2026-06-21 13:00:00+00:00,11.51,1.51
"Reykjavik, Islandia",2026-06-21 14:00:00+00:00,11.69,1.56
"Reykjavik, Islandia",2026-06-21 15:00:00+00:00,11.7,1.62
"Reykjavik, Islandia",2026-06-21 16:00:00+00:00,11.64,1.67
"Reykjavik, Islandia",2026-06-21 17:00:00+00:00,11.62,1.72
"Reykjavik, Islandia",2026-06-21 18:00:00+00:00,11.43,1.77
"Reykjavik, Islandia",2026-06-21 19:00:00+00:00,11.21,1.82
"Reykjavik, Islandia",2026-06-21 20:00:00+00:00,11.05,1.86
"Reykjavik, Islandia",2026-06-21 21:00:00+00:00,10.84,1.91
"Reykjavik, Islandia",2026-06-21 22:00:00+00:00,10.63,1.95
"Reykjavik, Islandia",2026-06-21 23:00:00+00:00,10.46,1.99
